0,1,2,3,4,5,6,7,8,9,10
frankfurter,yogurt,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
finished products,butter milk,fruit/vegetable juice,brown bread,pot plants,,,,,,
sausage,shopping bags,,,,,,,,,
cream cheese ,canned beer,chewing gum,,,,,,,,
pip fruit,syrup,,,,,,,,,
whole milk,root vegetables,margarine,,,,,,,,
whipped/sour cream,rolls/buns,soda,,,,,,,,
long life bakery product,waffles,,,,,,,,,
frankfurter,frankfurter,beef,domestic eggs,hard cheese,processed cheese,curd,shopping bags,,,
tropical fruit,oil,,,,,,,,,
pork,herbs,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
berries,brown bread,,,,,,,,,
soda,salty snack,,,,,,,,,
whipped/sour cream,hygiene articles,,,,,,,,,
frankfurter,pip fruit,,,,,,,,,
hamburger meat,butter milk,,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
berries,semi-finished bread,,,,,,,,,
rolls/buns,male cosmetics,liquor (appetizer),,,,,,,,
rolls/buns,domestic eggs,butter,butter,,,,,,,
butter milk,napkins,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
beef,berries,,,,,,,,,
pastry,berries,,,,,,,,,
white wine,coffee,,,,,,,,,
root vegetables,snack products,,,,,,,,,
other vegetables,soda,pip fruit,brown bread,,,,,,,
pork,liquor,long life bakery product,,,,,,,,
soda,chocolate,,,,,,,,,
canned beer,tropical fruit,fruit/vegetable juice,shopping bags,,,,,,,
other vegetables,soda,,,,,,,,,
yogurt,frozen potato products,,,,,,,,,
pastry,curd,butter,curd,whipped/sour cream,,,,,,
sausage,rolls/buns,soda,other vegetables,,,,,,,
pip fruit,chocolate,brown bread,,,,,,,,
soda,soda,canned beer,frozen dessert,tropical fruit,whole milk,bottled water,specialty bar,domestic eggs,,
ham,white bread,,,,,,,,,
whole milk,brown bread,,,,,,,,,
meat,whole milk,,,,,,,,,
curd,whole milk,,,,,,,,,
other vegetables,brown bread,flower (seeds),,,,,,,,
coffee,baking powder,,,,,,,,,
sausage,frankfurter,herbs,rice,,,,,,,
sugar,berries,,,,,,,,,
bottled beer,sugar,bottled water,,,,,,,,
white bread,meat,domestic eggs,roll products ,,,,,,,
whole milk,house keeping products,,,,,,,,,
tropical fruit,red/blush wine,,,,,,,,,
dessert,flower (seeds),,,,,,,,,
pickled vegetables,meat,,,,,,,,,
whole milk,red/blush wine,newspapers,,,,,,,,
citrus fruit,whipped/sour cream,liquor,,,,,,,,
whole milk,dessert,,,,,,,,,
onions,whipped/sour cream,red/blush wine,,,,,,,,
cream cheese ,UHT-milk,,,,,,,,,
pip fruit,sugar,frozen vegetables,,,,,,,,
syrup,whole milk,,,,,,,,,
whipped/sour cream,frozen meals,,,,,,,,,
newspapers,long life bakery product,,,,,,,,,
root vegetables,female sanitary products,,,,,,,,,
root vegetables,UHT-milk,UHT-milk,spread cheese,shopping bags,,,,,,
whole milk,ice cream,,,,,,,,,
liver loaf,processed cheese,canned beer,,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
other vegetables,frozen vegetables,rolls/buns,,,,,,,,
pip fruit,pastry,,,,,,,,,
pork,brown bread,,,,,,,,,
tropical fruit,soda,yogurt,root vegetables,yogurt,domestic eggs,white wine,photo/film,,,
meat,liquor,,,,,,,,,
sausage,whole milk,,,,,,,,,
canned beer,frozen meals,beef,canned beer,coffee,,,,,,
soft cheese,semi-finished bread,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
other vegetables,cake bar,,,,,,,,,
soft cheese,napkins,,,,,,,,,
bottled beer,pastry,cream cheese ,,,,,,,,
butter,butter milk,,,,,,,,,
rolls/buns,rum,,,,,,,,,
root vegetables,chocolate,candy,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
butter milk,newspapers,,,,,,,,,
beef,frozen vegetables,,,,,,,,,
soda,tropical fruit,other vegetables,bottled water,,,,,,,
organic sausage,whipped/sour cream,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
newspapers,cream,,,,,,,,,
sausage,frozen meals,long life bakery product,soda,,,,,,,
whole milk,canned beer,,,,,,,,,
meat,tropical fruit,rolls/buns,,,,,,,,
chicken,citrus fruit,other vegetables,margarine,hard cheese,soft cheese,,,,,
bottled water,beverages,,,,,,,,,
whole milk,butter,,,,,,,,,
yogurt,semi-finished bread,flour,,,,,,,,
soda,yogurt,,,,,,,,,
canned beer,long life bakery product,rolls/buns,,,,,,,,
hard cheese,specialty bar,,,,,,,,,
soda,specialty bar,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
hamburger meat,pastry,cereals,,,,,,,,
meat spreads,hard cheese,frozen vegetables,butter,,,,,,,
whole milk,candy,,,,,,,,,
salt,cream cheese ,,,,,,,,,
fruit/vegetable juice,dessert,,,,,,,,,
